iRECORD_ID,iCIK,iCUSIP,iPERIOD_END,iFILING_DATE,iAMEND,iRESTATEMENT,iTYPE,iQTY,iMARKET_VALUE,iLONG_FRACTION
4443830,0000216235,08658U101,1999-09-30,2000-01-03,0,0,0,4450,216103,0.000639923
4443831,0001044330,079860102,1999-12-31,2000-01-03,0,0,0,85224,2863,0.00826244
4443832,0001044330,852061100,1999-12-31,2000-01-03,0,0,0,3780,227,0.000655108
4443833,0001044330,291345106,1999-12-31,2000-01-03,0,0,0,11000,330,0.000952359
4443834,0001044330,031162100,1999-12-31,2000-01-03,0,0,0,8834,464,0.00133907
4443835,0001044330,693506107,1999-12-31,2000-01-03,0,0,0,7583,329,0.000949473
4443836,0001044330,753329AB7,1999-12-31,2000-01-03,0,0,0,28900,0,0
4443837,0001044330,01855A101,1999-12-31,2000-01-03,0,0,0,11600,275,0.000793632
4443838,0001044330,55262L100,1999-12-31,2000-01-03,0,0,0,41050,1075,0.00310238
4443839,0001044330,784646200,1999-12-31,2000-01-03,0,0,0,45100,822,0.00237224
4443840,0001044330,013817101,1999-12-31,2000-01-03,0,0,0,22996,1858,0.00536207
4443841,0001044330,026874107,1999-12-31,2000-01-03,0,0,0,66509,6565,0.0189462
4443842,0001044330,349631101,1999-12-31,2000-01-03,0,0,0,6142,161,0.000464636
4443843,0001044330,532457108,1999-12-31,2000-01-03,0,0,0,21289,1158,0.00334191
4443844,0001044330,026609107,1999-12-31,2000-01-03,0,0,0,245818,4554,0.0131426
4443845,0001044330,302290101,1999-12-31,2000-01-03,0,0,0,11112,881,0.00254251
4443846,0001044330,247025109,1999-12-31,2000-01-03,0,0,0,15115,650,0.00187586
4443847,0001044330,934488107,1999-12-31,2000-01-03,0,0,0,40877,979,0.00282533
4443848,0001044330,682419106,1999-12-31,2000-01-03,0,0,0,70126,389,0.00112263
4443849,0001044330,084670108,1999-12-31,2000-01-03,0,0,0,16,897,0.00258868
4443850,0001044330,37733W105,1999-12-31,2000-01-03,0,0,0,4500,22,0.0000634906
4443851,0001044330,423074103,1999-12-31,2000-01-03,0,0,0,6267,38,0.000109666
4443852,0001044330,806857108,1999-12-31,2000-01-03,0,0,0,61965,3155,0.00910513
4443853,0001044330,969457100,1999-12-31,2000-01-03,0,0,0,10260,298,0.000860009
4443854,0001044330,291011104,1999-12-31,2000-01-03,0,0,0,7114,362,0.00104471
4443855,0001044330,620076109,1999-12-31,2000-01-03,0,0,0,7318,665,0.00191915
4443856,0001044330,278058102,1999-12-31,2000-01-03,0,0,0,3950,127,0.000366514
4443857,0001044330,316773100,1999-12-31,2000-01-03,0,0,0,15390,1031,0.0029754
4443858,0001044330,92857T107,1999-12-31,2000-01-03,0,0,0,36818,1118,0.00322648
4443859,0001044330,090597105,1999-12-31,2000-01-03,0,0,0,15802,1254,0.00361896
4443860,0001044330,78387G103,1999-12-31,2000-01-03,0,0,0,98857,3018,0.00870976
4443861,0001044330,071813109,1999-12-31,2000-01-03,0,0,0,3700,100,0.000288594
4443862,0001044330,437076102,1999-12-31,2000-01-03,0,0,0,27776,1015,0.00292923
4443863,0001044330,993000058,1999-12-31,2000-01-03,0,0,0,6275,343,0.000989876
4443864,0001044330,852061506,1999-12-31,2000-01-03,0,0,0,46878,4618,0.0133273
4443865,0001044330,880591409,1999-12-31,2000-01-03,0,0,0,10000,124,0.000357856
4443866,0001044330,780257804,1999-12-31,2000-01-03,0,0,0,5200,314,0.000906184
4443867,0001044330,929771103,1999-12-31,2000-01-03,0,0,0,6380,386,0.00111397
4443868,0001044330,844741108,1999-12-31,2000-01-03,0,0,0,13815,222,0.000640678
4443869,0001044330,881694103,1999-12-31,2000-01-03,0,0,0,28654,1088,0.0031399
4443870,0001044330,263534109,1999-12-31,2000-01-03,0,0,0,53871,1314,0.00379212
4443871,0001044330,620074203,1999-12-31,2000-01-03,0,0,0,53250,954,0.00275318
4443872,0001044330,219350105,1999-12-31,2000-01-03,0,0,0,46679,5815,0.0167817
4443873,0001044330,126408103,1999-12-31,2000-01-03,0,0,0,24774,482,0.00139102
4443874,0001044330,604059105,1999-12-31,2000-01-03,0,0,0,35756,1760,0.00507925
4443875,0001044330,001957109,1999-12-31,2000-01-03,0,0,0,85555,2287,0.00660014
4443876,0001044330,345370100,1999-12-31,2000-01-03,0,0,0,6680,248,0.000715712
4443877,0001044330,281020107,1999-12-31,2000-01-03,0,0,0,10580,208,0.000600275
4443878,0001044330,285661104,1999-12-31,2000-01-03,0,0,0,3540,46,0.000132753
4443879,0001044330,460690100,1999-12-31,2000-01-03,0,0,0,4514,150,0.00043289
4443880,0001044330,060505104,1999-12-31,2000-01-03,0,0,0,56339,2550,0.00735914
4443881,0001044330,64156L101,1999-12-31,2000-01-03,0,0,0,18000,7,0.0000202016
4443882,0001044330,460146103,1999-12-31,2000-01-03,0,0,0,7441,106,0.000305909
4443883,0001044330,077853109,1999-12-31,2000-01-03,0,0,0,61942,2266,0.00653953
4443884,0001044330,369604103,1999-12-31,2000-01-03,0,0,0,225083,16730,0.0482817
4443885,0001044330,928444108,1999-12-31,2000-01-03,0,0,0,3494,276,0.000796518
4443886,0001044330,617446240,1999-12-31,2000-01-03,0,0,0,15000,120,0.000346312
4443887,0001044330,713448108,1999-12-31,2000-01-03,0,0,0,38250,786,0.00226835
