pSP_CUSIP,pSP_EXCHANGE,pSP_TICKER,pSP_DATE,pSP_VOLUME,pSP_OPEN,pSP_HIGH,pSP_LOW,pSP_CLOSE
013817101,"N     ","AA    ",1997-02-24,2261600,17.6562,17.875,17.5938,17.75
013817101,"N     ","AA    ",1997-02-25,1562800,17.7812,17.7812,17.375,17.5
013817101,"N     ","AA    ",1997-02-26,4606000,17.4688,17.5938,17.0625,17.125
013817101,"N     ","AA    ",1997-02-27,1944800,17.1562,17.75,17.1562,17.75
013817101,"N     ","AA    ",1997-02-28,2732800,17.75,17.9688,17.75,17.8125
013817101,"N     ","AA    ",1997-03-03,3247600,17.6562,18.0625,17.5938,18.0625
013817101,"N     ","AA    ",1997-03-04,2570400,18.125,18.25,18.0625,18.0938
013817101,"N     ","AA    ",1997-03-05,2766800,17.9062,17.9375,17.625,17.9375
013817101,"N     ","AA    ",1997-03-06,2262400,17.875,17.9375,17.8125,17.9375
013817101,"N     ","AA    ",1997-03-07,2213200,17.9688,18.1562,17.9375,18.0938
013817101,"N     ","AA    ",1997-03-10,2961600,18.0938,18.7188,18.0625,18.7188
013817101,"N     ","AA    ",1997-03-11,5530000,18.875,19,18.5625,19
013817101,"N     ","AA    ",1997-03-12,3252000,18.875,19.0625,18.6562,18.7812
013817101,"N     ","AA    ",1997-03-13,2019600,18.7188,18.7188,18.3125,18.375
013817101,"N     ","AA    ",1997-03-14,1931200,18.4375,18.8125,18.4062,18.6562
013817101,"N     ","AA    ",1997-03-17,2264400,18.5625,18.9375,18.3438,18.8125
013817101,"N     ","AA    ",1997-03-18,2450400,18.7812,18.7812,18.4062,18.4688
013817101,"N     ","AA    ",1997-03-19,1806000,18.3438,18.4688,18.2188,18.4688
013817101,"N     ","AA    ",1997-03-20,1465200,18.4375,18.4688,18.1875,18.2812
013817101,"N     ","AA    ",1997-03-21,2643200,18.3125,18.3438,18.0312,18.0312
013817101,"N     ","AA    ",1997-03-24,3596000,17.9688,18.0938,17.8125,18
013817101,"N     ","AA    ",1997-03-25,2570800,18.0938,18.0938,17.4688,17.5
013817101,"N     ","AA    ",1997-03-26,2875600,17.5,17.6875,17.4688,17.5938
013817101,"N     ","AA    ",1997-03-27,4027200,17.625,17.7812,17,17.1562
013817101,"N     ","AA    ",1997-03-31,4549200,17.25,17.3125,16.9688,17
013817101,"N     ","AA    ",1997-04-01,4207200,17.0625,17.4688,17.0312,17.25
013817101,"N     ","AA    ",1997-04-02,2164400,17.1562,17.25,17.0312,17.0312
013817101,"N     ","AA    ",1997-04-03,2869600,16.9688,17.1562,16.75,16.875
013817101,"N     ","AA    ",1997-04-04,3992400,16.75,17.0938,16.75,16.9062
